@id,@lon,@lat,crossing,step_count,surface,incline,highway,step,sidewalk,any
3750954768,-3.1715404,51.4805108,traffic_signals,,,,crossing,,,crossing
3750960801,-3.1717973,51.4782878,traffic_signals,,,,crossing,,,crossing
3761464817,-3.1355563,51.5052045,traffic_signals,,,,crossing,,,crossing
3761482261,-3.1037497,51.5292513,traffic_signals,,,,crossing,,,crossing
3761482262,-3.1041896,51.5290561,traffic_signals,,,,crossing,,,crossing
3761552366,-3.172992,51.475281,traffic_signals,,,,crossing,,,crossing
3827068066,-3.1812373,51.4921061,traffic_signals,,,,crossing,,,crossing
3827068079,-3.1820071,51.496862,traffic_signals,,,,crossing,,,crossing
3845685641,-3.1296982,51.5357369,zebra,,,,crossing,,,crossing
3919534810,-3.1504015,51.4912488,traffic_signals,,,,crossing,,,crossing
3922064539,-3.1707794,51.47592,traffic_signals,,,,crossing,,,crossing
3922064542,-3.1707522,51.4760048,traffic_signals,,,,crossing,,,crossing
3932804497,-3.1644699,51.4852095,traffic_signals,,,,crossing,,,crossing
3932804498,-3.1646964,51.4849087,traffic_signals,,,,crossing,,,crossing
3992117799,-3.1691259,51.4847514,traffic_signals,,,,crossing,,,crossing
3992117804,-3.1668063,51.4843716,traffic_signals,,,,crossing,,,crossing
4192368016,-3.1637032,51.4775561,traffic_signals,,,,crossing,,,crossing
4192368018,-3.1634476,51.4775222,traffic_signals,,,,crossing,,,crossing
4379513959,-3.1906081,51.4674434,traffic_signals,,,,crossing,,,crossing
4379513962,-3.1906464,51.4676027,traffic_signals,,,,crossing,,,crossing
4497553492,-3.2001703,51.5139015,traffic_signals,,,,crossing,,,crossing
4497553497,-3.2007485,51.5169573,traffic_signals,,,,crossing,,,crossing
4596729297,-3.2388341,51.4800296,traffic_signals,,,,crossing,,,crossing
4596729298,-3.2391361,51.480046,traffic_signals,,,,crossing,,,crossing
4596729299,-3.2392615,51.4799195,traffic_signals,,,,crossing,,,crossing
4747039490,-3.1698602,51.4645128,uncontrolled,,,,crossing,,,crossing
4747083767,-3.2281664,51.5072032,traffic_signals,,,,crossing,,,crossing
1E+15,-3.1737322,51.4764409,,,asphalt,,primary,,both,sidewalk
1E+15,-3.2700321,51.4666624,,,asphalt,,trunk,,left,sidewalk
1E+15,-3.1935853,51.5138826,,,asphalt,,tertiary,,both,sidewalk
1E+15,-3.1928874,51.5283444,,,asphalt,,secondary,,both,sidewalk
1E+15,-3.0939396,51.5283613,,,asphalt,,unclassified,,both,sidewalk
1E+15,-3.1827031,51.4705049,,,asphalt,,tertiary,,both,sidewalk
1E+15,-3.1717519,51.475297,,,asphalt,,primary,,both,sidewalk
1E+15,-3.1121678,51.5253075,,,asphalt,,secondary,,both,sidewalk
1E+15,-3.1712012,51.4785068,,,asphalt,,unclassified,,left,sidewalk
1E+15,-3.1715801,51.4804878,,,asphalt,,unclassified,,left,sidewalk
1E+15,-3.1759236,51.4765415,,,asphalt,,service,,both,sidewalk
1E+15,-3.323954,51.5219227,,,asphalt,,residential,,both,sidewalk
1E+15,-3.219932,51.484318,,,,,residential,,both,sidewalk
1E+15,-3.2204451,51.4840934,,,,,residential,,both,sidewalk
