"","X.version","X.timestamp","city"
"885",2,1086,"Manchester"
"886",2,1115,"Manchester"
"887",2,2342,"Manchester"
"888",1,3298,"Manchester"
"889",4,752,"Manchester"
"890",1,3298,"Manchester"
"891",1,3298,"Manchester"
"892",2,752,"Manchester"
"893",1,3298,"Manchester"
"894",2,2343,"Manchester"
"895",1,3298,"Manchester"
"896",1,3298,"Manchester"
"897",1,3298,"Manchester"
"898",1,3298,"Manchester"
"899",3,613,"Manchester"
"900",2,613,"Manchester"
"901",1,3298,"Manchester"
"902",1,3298,"Manchester"
"903",2,613,"Manchester"
"904",1,3298,"Manchester"
"905",1,3298,"Manchester"
"906",1,3298,"Manchester"
"907",1,3298,"Manchester"
"908",1,3298,"Manchester"
"909",1,3298,"Manchester"
"910",1,3298,"Manchester"
"911",1,3298,"Manchester"
"912",1,3298,"Manchester"
"913",1,3298,"Manchester"
"914",3,1088,"Manchester"
"915",1,3298,"Manchester"
"916",1,3298,"Manchester"
"917",1,3298,"Manchester"
"918",1,3298,"Manchester"
"919",1,3298,"Manchester"
"920",1,3298,"Manchester"
"921",1,3298,"Manchester"
"922",1,3298,"Manchester"
"923",2,1198,"Manchester"
"924",2,1198,"Manchester"
"925",2,1198,"Manchester"
"926",2,1198,"Manchester"
"927",3,164,"Manchester"
"928",1,3298,"Manchester"
"929",1,3298,"Manchester"
"930",2,166,"Manchester"
"931",1,3298,"Manchester"
"932",1,3298,"Manchester"
"933",1,3298,"Manchester"
"934",1,3298,"Manchester"
"935",2,2337,"Manchester"
"936",1,3298,"Manchester"
"937",1,3298,"Manchester"
"938",1,3298,"Manchester"
"939",3,3099,"Manchester"
"940",4,3099,"Manchester"
"941",5,3099,"Manchester"
